"acc","mtry","ntree","nodesize","full"
1.58403419428033e-06,10,2000,10,FALSE
1.59379557869413e-06,10,1000,10,FALSE
1.60442142856992e-06,10,250,10,FALSE
1.61480523277751e-06,10,500,10,FALSE
1.6267340591751e-06,10,2000,5,FALSE
1.63052330255403e-06,10,1000,5,FALSE
1.64324486752748e-06,10,2000,1,FALSE
1.65031974185353e-06,10,500,5,FALSE
1.6525572314082e-06,10,1000,1,FALSE
1.65854497534735e-06,5,500,5,FALSE
1.66297020188021e-06,5,2000,10,FALSE
1.66509500647741e-06,10,500,1,FALSE
1.66778943955842e-06,10,250,5,FALSE
1.66803164479614e-06,5,500,10,FALSE
1.66822205076119e-06,5,1000,10,FALSE
1.68367944242516e-06,5,250,5,FALSE
1.6881461412302e-06,5,2000,1,FALSE
1.68984600498651e-06,5,2000,5,FALSE
1.69261770125693e-06,5,1000,5,FALSE
1.69356895349109e-06,10,250,1,FALSE
1.69763297157515e-06,5,1000,1,FALSE
1.71579887944437e-06,5,250,10,FALSE
1.72222817088288e-06,5,250,1,FALSE
1.72797878492694e-06,5,500,1,FALSE
2.3531244320434e-06,2,500,5,FALSE
2.36913852628665e-06,2,1000,5,FALSE
2.37106998629793e-06,2,1000,10,FALSE
2.37294792451573e-06,2,500,10,FALSE
2.37748286228688e-06,2,2000,5,FALSE
2.38833518702433e-06,2,250,10,FALSE
2.38937175153651e-06,2,2000,10,FALSE
2.39461814983191e-06,2,2000,1,FALSE
2.39856840297856e-06,2,250,5,FALSE
2.42672549488262e-06,2,1000,1,FALSE
2.430845638222e-06,2,500,1,FALSE
2.45710376334841e-06,2,250,1,FALSE
2.8414047722477e-06,10,250,1,TRUE
2.87538820325769e-06,10,500,10,TRUE
2.89265984478886e-06,10,250,10,TRUE
2.90927676864222e-06,10,500,1,TRUE
2.9097517374417e-06,10,500,5,TRUE
2.91920337959656e-06,10,2000,1,TRUE
2.92252298261765e-06,10,2000,5,TRUE
2.92448626413414e-06,10,1000,5,TRUE
2.9309623817841e-06,10,1000,1,TRUE
2.94650844140589e-06,10,2000,10,TRUE
2.95526770810266e-06,10,1000,10,TRUE
2.96574913230961e-06,10,250,5,TRUE
3.27649576426947e-06,5,500,1,TRUE
3.30240754717936e-06,5,250,1,TRUE
3.36369161845446e-06,5,250,10,TRUE
3.3736739395788e-06,5,2000,1,TRUE
3.37535370141421e-06,5,1000,1,TRUE
3.42574897238902e-06,5,2000,5,TRUE
3.42866333153279e-06,5,1000,10,TRUE
3.43730928541641e-06,5,2000,10,TRUE
3.46005822958278e-06,5,500,10,TRUE
3.4968334306217e-06,5,1000,5,TRUE
3.54738970998654e-06,5,500,5,TRUE
3.67253617428831e-06,5,250,5,TRUE
4.50363317688554e-06,2,500,5,TRUE
4.52167785577791e-06,2,2000,5,TRUE
4.55839253432314e-06,2,1000,5,TRUE
4.6026972028883e-06,2,2000,1,TRUE
4.61049519125389e-06,2,1000,1,TRUE
4.61643714739902e-06,2,500,1,TRUE
4.65550690994227e-06,2,2000,10,TRUE
4.660961966588e-06,2,250,1,TRUE
4.67213834121838e-06,2,1000,10,TRUE
4.77427330681568e-06,2,250,5,TRUE
4.84707725836985e-06,2,500,10,TRUE
4.92223912944457e-06,2,250,10,TRUE
